# GECK Function Index - Auto-generated from GECK wiki XML
# Format: Name | Origin | Signature | Summary | Categories
# Search this file with grep to find relevant functions.
# For full details, grep the original XML for the function name.
#
# Origins: GECK1=base game, NVSE=NVSE plugin, JIP=JIP LN NVSE, JG=JohnnyGuitar,
#          SO=ShowOff NVSE, kNVSE=kNVSE, NX=NX, Hot Reload, etc.

"componentPath<nowiki>|templateName|</nowiki>''altTileName''" | JIP | "componentPath<nowiki>|templateName|</nowiki>''altTileName''"("componentPath<nowiki>|templateName|</nowiki>''altTileName''":, formatVars(up to 20):?) -> int | Creates a new UI tile from a pre-defined Template, returning 1 on success. Function argument uses the following format:<pre> "componentPath|templateName|altTileName(optional)"</pre> | Functions (JIP); UI Functions (JIP); UI Functions; Functions_(ButcherPete FOSE); Functions (FO3)
"keyword:string" | JIP | "keyword:string"("keyword:string":) | Returns an array_var of forms associated with a specified keyword. | Functions (JIP); Keyword Functions (JIP); Array Functions
armor | JohnnyGuitar | armor(armor:baseform, modelID:int, index3D:int, textureSet:baseform) -> success(0/1) | Changes an alt texture of an Armor using a model ID and 3D index. Model IDs are as follows:<pre> 1 - Male Biped model 2 - Female Biped model 3 - Male World model 4 - Female World model </pre> | Functions (JohnnyGuitar NVSE); Armor Functions; Texture Functions
armor | JohnnyGuitar | armor(armor:baseform, index3D:int) -> success(0/1) | Removes an alt texture of a Weapon using a 3D index, or removes all of them if -1 is passed. | Functions (JohnnyGuitar NVSE); Weapon Functions; Texture Functions
armor | JohnnyGuitar | armor(armor:baseform, index3D:int, textureSet:baseform) -> success(0/1) | Changes an alt texture of a Weapon using a 3D index. | Functions (JohnnyGuitar NVSE); Weapon Functions; Texture Functions
armor | JohnnyGuitar | armor(armor:ref, flagID:int(0-3), isFemale:int(0/1), onOrOff:int(0/1)) | Sets a specified Facegen model flag for a specified Armor. Flag IDs are as follows: <pre> 0 - Head 1 - Torso 2 - RightHand 3 - LeftHand</pre> | Functions (JohnnyGuitar NVSE); Model Functions; File Functions; FaceGen Functions; Flag Functions
armor | JohnnyGuitar | armor(armor:baseform, modelID:int(1-4)) -> success(0/1) | Removes an alt texture of a Weapon using a model ID and 3D index, or removes all of the alt textures for specified model if -1 is passed for the 3D index. Model IDs are as follows:<pre> 1 - Male Biped model 2 - Female Biped model 3 - Male World model 4 - Female World model </pre> | Functions (JohnnyGuitar NVSE); Armor Functions; Texture Functions
armorOrWeapon | JohnnyGuitar | armorOrWeapon(armorOrWeapon:baseform, modelID:int?) -> map | Returns a Map-type array containing alternate texture forms of a specified Armor or Weapon model as values, and their 3D indices as keys. If Armor form is passed, an optional argument should be used to specify model ID, as follows:<pre> 1 - Male Biped model 2 - Female Biped model 3 - Male World model 4 - Female World model </pre> | Functions (JohnnyGuitar NVSE); Armor Functions; Texture Functions
AsciiToChar | NVSE | AsciiToChar(ASCIICode:int (Decimal)) -> string | Returns the single character associated with an ASCII code as a string. | Functions_(NVSE); String Functions
Assert | NVSE | Assert(assertion:bool) -> none | A debugging function to make test assertions, usually to verify if a function is properly functioning so as to catch bugs and regressions in code. If assertion is false, will print an error message and show the script line that isn't working in console. | Functions_(NVSE); Debugging; NVSE-Aware Functions
AttachAshPile | GECK1 | [ObjectRefID].AttachAshPile(iType:int (optional)?) | Attaches an ash pile to the calling reference. | Savebaked Functions; Functions (GECK); Functions (FO3)
AttachAshPileEx | JIP | reference.AttachAshPileEx(activator:form) | Attaches an 'Ash Pile' to the calling actor. Unlike the vanilla AttachAshPile, this function allows specifying an 'Activator' form to be used for the ash pile model/properties, thus making it possible to create and use custom-made ash piles, in addition to the only two available in the game. *In order to use a custom 'Activator' form as an ash pile, the base form must first be marked as one, using MarkActivatorAshPile. | Savebaked Functions; Functions (JIP); Actor Functions (JIP)
AttachExtraCamera | JIP | reference.AttachExtraCamera(cameraName:string, addOrRemove:1/0, parentNode:string?) -> successful:0/1 | Attaches an extra scene camera at the specified 'NiNode' of the calling reference's loaded 3D model. The scene, as viewed from the camera, can then be projected onto either another model block, or an 'image'-type UI tile, using 'ProjectExtraCamera'. The function takes 3 arguments, as follows: *'<i>cameraName</i>' - Any unique name that will be used for identifying and referencing the camera. *'<i>addOrRemove</i>' - Pass '1' to attach, or '0' to remove the camera. *'<i>parentNode</i>' - A name (case-sensitive) of a 'NiNode' in the calling reference's 3D model, to which the camera will be attached. ==Notes== *The camera's XYZ position/rotation can be modified using 'SetNifBlockTranslation / SetNifBlockRotation' (the block name is the camera name). *If the camera was successfully attached, the function returns 1 (otherwise, 0). *The function will 'fail' if the calling reference's 3D model isn't loaded. *The camera will be removed, 'a)' if the calling reference's 3D is un(re)loaded, or 'b)' when loading a game. *This function should be considered '<u>EXPERIMENTAL</u>', and may change considerably (or be scrapped, altogether) in the future. | Functions (JIP); Misc Reference Functions (JIP)
AttachFormModel | JIPPPLN | AttachFormModel(Target:form, ToAttach:form, addOrRemove:int, targetAndSuffix:formattedString?, formatVars (up to 20):?) -> successful:0/1 | Attaches an entire form’s runtime model (all runtime nodes created via AttachModel/InsertNode or present in the base model) to a selected NiNode in the 3D model of the specified object form. This function is useful for transferring a set of attached models from one form to another. The function takes '3(+) arguments', as follows: *'<i>refOrForm</i>' – Either an 'object reference' or a 'base form'. In the former case, the models will be attached to the target node in the 3D model of that specific reference only, whereas in the latter case, they will be attached in the 3D model of any reference instance of the base form. *'<i>formToAttach</i>' – A reference or base form whose attached models will be used. All NiNodes and models that were previously attached to this form (via AttachModel or InsertNode) will be copied and attached to the target form. *'<i>addOrRemove</i>' – Either attach or remove the models. Use one of the following values: <pre>0 Remove; Pending reload 1 Attach; Pending reload 2 Remove; Instantaneous 3 Attach; Instantaneous</pre> :*<span style="color:#3FFF3F">'Pending reload'</span> – Changes will be applied once either the object's 3D is (re)loaded by the game, or Update3D is called on it. :*<span style="color:#3FFF3F">'Instantaneous'</span> – Changes will be applied <u>instantly</u>. *'<i>targetAndSuffix</i>' – An 'optional formatted string' containing the name (<u>'case-sensitive'</u>) of an existing NiNode in the target form’s 3D model and, separated by a vertical bar '"&#124;"', an optional suffix to append to the name of every block in the attached form. The suffix (maximum 15 characters) is enclosed by asterisks and is useful to prevent name collisions when multiple copies of the same form are attached. If omitted, the function attaches the models to the root NiNode of the target form. *'<i>formatVars (up to 20)</i>' – Optional variables used in the formatted string. | Functions (JIP PP LN); Misc Reference Functions (JIP); Model Functions
AttachLine | JIP | reference.AttachLine(targetNode:string, lineName:string, length:float, red:int, green:int, blue:int, alpha:int) -> successful:0/1 | Attaches a line mesh to a selected node in the loaded 3D model of the calling reference. The function takes 7 arguments, as follows: *'<i>targetNode</i>' - The name of the parent node where the line is attached as a child. *'<i>lineName</i>' - The name that is given to the line block (this name can later be used to transform/remove the line using any of the 'NifBlock' functions). *'<i>length</i>' - The initial length of the line, in game units (the length can later be changed using SetNifBlockScale; 'length = scale'). *'<i>red, green, blue & alpha</i>' - The RGB colour and alpha (opacity) of the line; each 0-255. | Functions (JIP); Misc Reference Functions (JIP); Model Functions
AttachModel | JIP | AttachModel(refOrForm:form, addOrRemove:int, targetAndFile:formattedString, formatVars(up to 20):?) -> successful:0/1 | Attaches a complete copy of a model from a selected NIF file to an existing NiNode in the 3D model of the specified object form. The function takes 3(+) arguments, as follows: *'<i>refOrForm</i>' - Either an 'object reference' or a 'base form'. In the former case, the model will be attached to the target node in the 3D model of that specific reference <u>only</u>, whereas in the latter case, it will be attached in the 3D model of <u>any</u> reference instance of the base form. *'<i>addOrRemove</i>' - Either attach, or remove a previously attached model. Use one of the following values: <pre>0&#09;Remove; Pending reload 1&#09;Attach; Pending reload 2&#09;Remove; Instantaneous 3&#09;Attach; Instantaneous</pre> :*<span style="color:#3FFF3F">'Pending reload'</span> - Changes will be applied once either the object's 3D is (re)loaded by the game, or Update3D is called on it. :*<span style="color:#3FFF3F">'Instantaneous'</span> - Changes will be applied <u>instantly</u>. *'<i>targetAndFile</i>' - A 'formatted string' containing the name (<u>'case-sensitive'</u>) of an existing NiNode in the object's 3D model and, separated by a vertical bar '"&#124;"', the path of the 'NIF file' containing the model (<u>NOT case-sensitive</u>). Note that the path must be relative to '..\Data\Meshes\' :*<span style="color:#EFEF3F">'Block name suffixes'</span> - The function can <u>optionally</u> append a suffix to the name of every block in the attached NIF. This is useful when attaching multiple copies of the same NIF to a model, and/or for avoiding an outcome where the model contains multiple blocks with the same name (which may cause various issues). Suffixes have a character limit of 15. ::To specify a suffix, add the suffix string immediately before the NIF path, enclosed by asterisks. For example: '"Bip01 R Thigh&#124;*_CPY1*weapons\9mmSMG.nif"'. | Functions (JIP); Functions (JIP PP LN); Misc Reference Functions (JIP); File Functions; Model Functions
AttachUIComponent | JIP | reference.AttachUIComponent(targetNode:string, component:formattedString, formatVars(up to 20):?) -> successful:0/1 | Generates UI components from a formatted string and attaches them at the specified 'NiNode' of the calling reference's loaded 3D model. ==Notes== *The name of the target 'NiNode' (1st argument) is <u>case-sensitive</u>. *If the components were successfully generated and attached, the function returns 1 (otherwise, 0). *The attached components can be manipulated using any of the available (and applicable) UI functions. *Internally, the components are injected into 'HUDMainMenu' menu root. *The component must be composed of a single 'rect' parent, with all the other components as its children. *To remove the attached components, use UnloadUIComponent. *This function should be considered '<u>EXPERIMENTAL</u>', and may change considerably (or be scrapped, altogether) in the future. | Functions (JIP); Misc Reference Functions (JIP); UI Functions (JIP); UI Functions
AttachUIXML | JIP | reference.AttachUIXML(targetNode:string, filePath:string) -> successful:0/1 | Generates UI components from an XML file and attaches them at the specified 'NiNode' of the calling reference's loaded 3D model. ==Notes== *The name of the target 'NiNode' (1st argument) is <u>case-sensitive</u>. *The 'XML file' path (2nd argument) is relative to the game's installation path. *If the components were successfully generated and attached, the function returns 1 (otherwise, 0). *The attached components can be manipulated using any of the available (and applicable) UI functions. *Internally, the components are injected into 'HUDMainMenu' menu root. *The XML must be composed of a single 'rect' parent, with all the other components as its children. *To remove the attached components, use UnloadUIComponent. *This function should be considered '<u>EXPERIMENTAL</u>', and may change considerably (or be scrapped, altogether) in the future. | Functions (JIP); Misc Reference Functions (JIP); UI Functions (JIP); UI Functions; File Functions
